Antecedent_decoded,Consequent_decoded,Support,Confidence,Lift
"('American (Traditional)', 'Breakfast & Brunch')","('Pizza',)",0.026209201428812338,0.40099451142280806,2.4729574534932732
"('Breakfast & Brunch', 'Burgers')","('American (Traditional)',)",0.021775590611537814,0.6028350734233088,2.4713305557228784
"('American (New)', 'Sandwiches')","('Mexican',)",0.02592098606448052,0.45371115762357106,2.461092131576017
"('Coffee & Tea', 'Pizza')","('American (Traditional)',)",0.020687117693050636,0.5991475002220051,2.4562132993942187
"('Burgers', 'Mexican')","('American (Traditional)',)",0.02142605282926306,0.5980828483396098,2.4518487445695794
"('Pizza', 'Seafood')","('American (Traditional)',)",0.02040810069141026,0.5978085144602119,2.4507241091120306
"('American (Traditional)', 'Sandwiches')","('Mexican',)",0.025847399162948995,0.45123648431645436,2.447668615530553
"('American (Traditional)', 'Italian')","('Mexican',)",0.023630593754311733,0.45022783035401337,2.442197314486407
"('American (New)', 'Coffee & Tea')","('Mexican',)",0.023143080531665364,0.44982121573301553,2.4399916908699124
"('American (New)', 'Burgers')","('American (Traditional)',)",0.025746217173343144,0.5896355593006108,2.417218968640066
"('American (New)', 'Sandwiches')","('Breakfast & Brunch',)",0.027171963390516488,0.4756077926259862,2.409960436976653
"('Sandwiches', 'Seafood')","('American (Traditional)',)",0.021239019454537093,0.5862886161658909,2.4034981298870557
"('Mexican', 'Pizza')","('Breakfast & Brunch',)",0.023008171212190898,0.4740665866447659,2.402150965606419
"('Pizza', 'Sandwiches')","('American (Traditional)',)",0.02500114979533643,0.584516129032258,2.3962317948543284
"('Coffee & Tea', 'Pizza')","('American (New)',)",0.02109184565147404,0.6108693721694344,2.3959687730593022
"('Breakfast & Brunch', 'Italian')","('American (New)',)",0.02600377132870349,0.6088298636037329,2.3879693560670026
"('Italian', 'Seafood')","('American (New)',)",0.021193027641079887,0.6044071353620147,2.3706224088444707
"('Italian', 'Seafood')","('American (Traditional)',)",0.020242530162964324,0.5772997551591466,2.366648172334048
"('Italian', 'Sandwiches')","('American (Traditional)',)",0.02250839350595594,0.5769412134548884,2.3651783257569363
"('American (New)', 'Mexican')","('Breakfast & Brunch',)",0.029351975348387987,0.4663159432997223,2.36287754723045
"('American (New)', 'Pizza')","('Breakfast & Brunch',)",0.026991062257584818,0.46616183012073714,2.362096637687063
"('American (New)', 'Italian')","('Mexican',)",0.02475892624446182,0.4347240915208614,2.3580994715941745
"('Breakfast & Brunch', 'Burgers')","('American (New)',)",0.021705069830903433,0.6008827773533656,2.3567990742356066
"('Coffee & Tea', 'Sandwiches')","('American (Traditional)',)",0.021438317312851646,0.5745275267050124,2.3552833842051144
"('American (Traditional)', 'Sandwiches')","('Breakfast & Brunch',)",0.02652194576032133,0.4630125254255433,2.3461387416284287
"('Italian', 'Sandwiches')","('American (New)',)",0.02325959312575695,0.5961961647280729,2.3384171123740254
"('Breakfast & Brunch', 'Pizza')","('American (Traditional)',)",0.026209201428812338,0.5703609795155802,2.338202567518998
"('Mexican', 'Sandwiches')","('American (Traditional)',)",0.025847399162948995,0.5701339104558366,2.3372716948303585
"('American (Traditional)', 'Breakfast & Brunch')","('Mexican',)",0.028110196385043463,0.43007927944832763,2.332904344138556
"('Pizza', 'Seafood')","('American (New)',)",0.020300786460010118,0.594664990120352,2.332411496912946
"('American (Traditional)', 'Italian')","('Breakfast & Brunch',)",0.02413956982323813,0.45992522490945204,2.3304950280135666
"('Burgers', 'Mexican')","('American (New)',)",0.02128194514709715,0.594060253337898,2.330039581553146
"('American (Traditional)', 'Mexican')","('Breakfast & Brunch',)",0.028110196385043463,0.4582167133146741,2.3218377994875223
"('Italian', 'Mexican')","('American (New)',)",0.02475892624446182,0.5914884266041606,2.319952291496566
"('Breakfast & Brunch', 'Italian')","('American (Traditional)',)",0.02413956982323813,0.5651830581478823,2.316975608678571
"('Mexican', 'Seafood')","('American (Traditional)',)",0.022278434438669916,0.5650517147523135,2.316437164647904
"('Italian', 'Mexican')","('American (Traditional)',)",0.023630593754311733,0.5645326692059771,2.314309330394351
"('American (New)', 'Italian')","('Breakfast & Brunch',)",0.02600377132870349,0.45658142664872137,2.3135516102594145
"('Coffee & Tea', 'Sandwiches')","('American (New)',)",0.021947293381778043,0.5881676253081347,2.306927352664625
"('Breakfast & Brunch', 'Pizza')","('American (New)',)",0.026991062257584818,0.5873757256288784,2.3038213418064353
"('American (New)', 'Seafood')","('Breakfast & Brunch',)",0.02419169387848963,0.45428374021188395,2.3019089637443466
"('Coffee & Tea', 'Mexican')","('American (Traditional)',)",0.022226310383418418,0.5614592208194562,2.301709687069165
"('American (Traditional)', 'Pizza')","('Breakfast & Brunch',)",0.026209201428812338,0.45373958278040233,2.2991516542517565
