Antecedent,Consequent,Support,Confidence,Lift,Antecedent_decoded,Consequent_decoded
"(np.int64(4), np.int64(18), np.int64(24))","(np.int64(151),)",0.010983981693363844,0.5125628140703518,3.540849121934762,"('American (Traditional)', 'Breakfast & Brunch', 'Burgers')","('Sandwiches',)"
"(np.int64(4), np.int64(104), np.int64(151))","(np.int64(138),)",0.01113205007403419,0.573111573111573,3.5327297350198106,"('American (Traditional)', 'Italian', 'Sandwiches')","('Pizza',)"
"(np.int64(4), np.int64(18), np.int64(138))","(np.int64(151),)",0.011360883025979271,0.5096618357487923,3.520808794660385,"('American (Traditional)', 'Breakfast & Brunch', 'Pizza')","('Sandwiches',)"
"(np.int64(3), np.int64(104), np.int64(122))","(np.int64(151),)",0.010176335980616503,0.5060240963855421,3.4956788283877556,"('American (New)', 'Italian', 'Mexican')","('Sandwiches',)"
"(np.int64(4), np.int64(24), np.int64(104))","(np.int64(138),)",0.010257100551891237,0.566542750929368,3.4922387127898062,"('American (Traditional)', 'Burgers', 'Italian')","('Pizza',)"
"(np.int64(4), np.int64(24), np.int64(151))","(np.int64(138),)",0.011266657692825414,0.5655405405405406,3.4860609655456987,"('American (Traditional)', 'Burgers', 'Sandwiches')","('Pizza',)"
"(np.int64(4), np.int64(18), np.int64(122))","(np.int64(43),)",0.010149414456858259,0.40978260869565214,3.48594412000458,"('American (Traditional)', 'Breakfast & Brunch', 'Mexican')","('Coffee & Tea',)"
"(np.int64(4), np.int64(18), np.int64(151))","(np.int64(104),)",0.010714766455781398,0.5066836409929981,3.484036254106797,"('American (Traditional)', 'Breakfast & Brunch', 'Sandwiches')","('Italian',)"
"(np.int64(3), np.int64(122), np.int64(151))","(np.int64(138),)",0.01113205007403419,0.5645051194539249,3.479678503504155,"('American (New)', 'Mexican', 'Sandwiches')","('Pizza',)"
"(np.int64(3), np.int64(18), np.int64(122))","(np.int64(151),)",0.011037824740880334,0.5030674846625767,3.4752541784994255,"('American (New)', 'Breakfast & Brunch', 'Mexican')","('Sandwiches',)"
"(np.int64(4), np.int64(24), np.int64(122))","(np.int64(151),)",0.011293579216583659,0.5014943215780036,3.4643865677915087,"('American (Traditional)', 'Burgers', 'Mexican')","('Sandwiches',)"
"(np.int64(4), np.int64(18), np.int64(138))","(np.int64(104),)",0.011226275407188046,0.503623188405797,3.4629921016907312,"('American (Traditional)', 'Breakfast & Brunch', 'Pizza')","('Italian',)"
"(np.int64(3), np.int64(18), np.int64(122))","(np.int64(104),)",0.011010903217122088,0.501840490797546,3.450733993090494,"('American (New)', 'Breakfast & Brunch', 'Mexican')","('Italian',)"
"(np.int64(4), np.int64(18), np.int64(122))","(np.int64(24),)",0.012168528738726613,0.49130434782608695,3.4488330341113107,"('American (Traditional)', 'Breakfast & Brunch', 'Mexican')","('Burgers',)"
"(np.int64(3), np.int64(4), np.int64(24))","(np.int64(151),)",0.0131242428321443,0.4987212276214834,3.4452296819787986,"('American (New)', 'American (Traditional)', 'Burgers')","('Sandwiches',)"
"(np.int64(4), np.int64(18), np.int64(104))","(np.int64(24),)",0.01010903217122089,0.4902088772845953,3.4411431062527247,"('American (Traditional)', 'Breakfast & Brunch', 'Italian')","('Burgers',)"
"(np.int64(3), np.int64(24), np.int64(122))","(np.int64(138),)",0.010553237313231928,0.5576102418207681,3.437177635650918,"('American (New)', 'Burgers', 'Mexican')","('Pizza',)"
"(np.int64(4), np.int64(122), np.int64(154))","(np.int64(104),)",0.010485933503836318,0.4984005118362124,3.427080157748262,"('American (Traditional)', 'Mexican', 'Seafood')","('Italian',)"
"(np.int64(4), np.int64(104), np.int64(122))","(np.int64(151),)",0.010997442455242966,0.495752427184466,3.42472083090329,"('American (Traditional)', 'Italian', 'Mexican')","('Sandwiches',)"
"(np.int64(4), np.int64(122), np.int64(151))","(np.int64(104),)",0.010997442455242966,0.49695863746958635,3.417165603259494,"('American (Traditional)', 'Mexican', 'Sandwiches')","('Italian',)"
"(np.int64(4), np.int64(122), np.int64(138))","(np.int64(151),)",0.012087764167451878,0.49394939493949397,3.412265254794031,"('American (Traditional)', 'Mexican', 'Pizza')","('Sandwiches',)"
"(np.int64(3), np.int64(4), np.int64(138))","(np.int64(151),)",0.014228025306232333,0.49300373134328357,3.40573249037498,"('American (New)', 'American (Traditional)', 'Pizza')","('Sandwiches',)"
"(np.int64(4), np.int64(24), np.int64(122))","(np.int64(138),)",0.012424283214429937,0.5517035265989241,3.4007679215926045,"('American (Traditional)', 'Burgers', 'Mexican')","('Pizza',)"
"(np.int64(4), np.int64(122), np.int64(154))","(np.int64(24),)",0.01016287521873738,0.4830454254638516,3.3908574749796405,"('American (Traditional)', 'Mexican', 'Seafood')","('Burgers',)"
"(np.int64(3), np.int64(18), np.int64(122))","(np.int64(24),)",0.010580158836990174,0.48220858895705526,3.3849830930378566,"('American (New)', 'Breakfast & Brunch', 'Mexican')","('Burgers',)"
"(np.int64(3), np.int64(4), np.int64(138))","(np.int64(104),)",0.014201103782474089,0.4920708955223881,3.3835567223582204,"('American (New)', 'American (Traditional)', 'Pizza')","('Italian',)"
"(np.int64(3), np.int64(4), np.int64(151))","(np.int64(24),)",0.0131242428321443,0.48171936758893275,3.381548881997715,"('American (New)', 'American (Traditional)', 'Sandwiches')","('Burgers',)"
"(np.int64(4), np.int64(104), np.int64(138))","(np.int64(24),)",0.010257100551891237,0.481668773704172,3.38119372564329,"('American (Traditional)', 'Italian', 'Pizza')","('Burgers',)"
"(np.int64(4), np.int64(18), np.int64(122))","(np.int64(151),)",0.012101224929331,0.4885869565217391,3.375220848056537,"('American (Traditional)', 'Breakfast & Brunch', 'Mexican')","('Sandwiches',)"
"(np.int64(4), np.int64(122), np.int64(151))","(np.int64(138),)",0.012087764167451878,0.546228710462287,3.36702048624654,"('American (Traditional)', 'Mexican', 'Sandwiches')","('Pizza',)"
"(np.int64(3), np.int64(18), np.int64(151))","(np.int64(138),)",0.010284022075649482,0.5457142857142857,3.3638495092693566,"('American (New)', 'Breakfast & Brunch', 'Sandwiches')","('Pizza',)"
"(np.int64(3), np.int64(4), np.int64(151))","(np.int64(104),)",0.013312693498452013,0.48863636363636365,3.35994034196089,"('American (New)', 'American (Traditional)', 'Sandwiches')","('Italian',)"
"(np.int64(4), np.int64(18), np.int64(104))","(np.int64(138),)",0.011226275407188046,0.5443864229765013,3.355664401171945,"('American (Traditional)', 'Breakfast & Brunch', 'Italian')","('Pizza',)"
"(np.int64(4), np.int64(43), np.int64(122))","(np.int64(18),)",0.010149414456858259,0.5872274143302182,3.3506240100301006,"('American (Traditional)', 'Coffee & Tea', 'Mexican')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(4), np.int64(154))","(np.int64(104),)",0.012868488356440975,0.48676171079429736,3.3470499347379077,"('American (New)', 'American (Traditional)', 'Seafood')","('Italian',)"
"(np.int64(3), np.int64(4), np.int64(138))","(np.int64(24),)",0.013689594831067438,0.4743470149253731,3.3297968193145584,"('American (New)', 'American (Traditional)', 'Pizza')","('Burgers',)"
"(np.int64(4), np.int64(122), np.int64(154))","(np.int64(151),)",0.010135953694979136,0.48176583493282155,3.328099672415781,"('American (Traditional)', 'Mexican', 'Seafood')","('Sandwiches',)"
"(np.int64(4), np.int64(18), np.int64(151))","(np.int64(138),)",0.011360883025979271,0.5372374283895608,3.3115971253783996,"('American (Traditional)', 'Breakfast & Brunch', 'Sandwiches')","('Pizza',)"
"(np.int64(4), np.int64(122), np.int64(138))","(np.int64(104),)",0.011764705882352941,0.4807480748074808,3.3056992296786145,"('American (Traditional)', 'Mexican', 'Pizza')","('Italian',)"
"(np.int64(3), np.int64(104), np.int64(122))","(np.int64(138),)",0.010782070265177008,0.536144578313253,3.3048606640301665,"('American (New)', 'Italian', 'Mexican')","('Pizza',)"
"(np.int64(3), np.int64(18), np.int64(104))","(np.int64(138),)",0.010472472741957195,0.5354439091534755,3.300541653751385,"('American (New)', 'Breakfast & Brunch', 'Italian')","('Pizza',)"
"(np.int64(3), np.int64(4), np.int64(104))","(np.int64(151),)",0.013312693498452013,0.4757094757094757,3.2862615724806536,"('American (New)', 'American (Traditional)', 'Italian')","('Sandwiches',)"
"(np.int64(3), np.int64(4), np.int64(40))","(np.int64(138),)",0.01010903217122089,0.5330021291696238,3.285490223698253,"('American (New)', 'American (Traditional)', 'Chinese')","('Pizza',)"
"(np.int64(4), np.int64(18), np.int64(24))","(np.int64(138),)",0.01141472607349576,0.5326633165829145,3.2834017415320877,"('American (Traditional)', 'Breakfast & Brunch', 'Burgers')","('Pizza',)"
"(np.int64(3), np.int64(4), np.int64(43))","(np.int64(18),)",0.011589715977924351,0.5751503006012024,3.28171396556554,"('American (New)', 'American (Traditional)', 'Coffee & Tea')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(104), np.int64(151))","(np.int64(18),)",0.010055189123704402,0.5750577367205543,3.2811858111344065,"('American (New)', 'Italian', 'Sandwiches')","('Breakfast & Brunch',)"
"(np.int64(3), np.int64(4), np.int64(18))","(np.int64(151),)",0.014254946829990577,0.4740376007162041,3.274712047350456,"('American (New)', 'American (Traditional)', 'Breakfast & Brunch')","('Sandwiches',)"
"(np.int64(4), np.int64(18), np.int64(122))","(np.int64(104),)",0.011778166644232063,0.4755434782608695,3.2699116068122915,"('American (Traditional)', 'Breakfast & Brunch', 'Mexican')","('Italian',)"
"(np.int64(3), np.int64(4), np.int64(43))","(np.int64(138),)",0.010687844932023153,0.5303941215764864,3.2694141463588755,"('American (New)', 'American (Traditional)', 'Coffee & Tea')","('Pizza',)"
"(np.int64(4), np.int64(104), np.int64(122))","(np.int64(138),)",0.011764705882352941,0.5303398058252428,3.269079337434225,"('American (Traditional)', 'Italian', 'Mexican')","('Pizza',)"
"(np.int64(4), np.int64(104), np.int64(122))","(np.int64(24),)",0.010310943599407726,0.46480582524271846,3.2628200658869466,"('American (Traditional)', 'Italian', 'Mexican')","('Burgers',)"
